path	bytes	md5	copied
qc/5removedrRNA/RIBO-GLY-1-norRNA_fastqc.html	658013	75495efd2b54c73acc0aab9995ae8f5a	yes
qc/5removedrRNA/RNA-GLY-1-norRNA_fastqc.html	607749	1c24a323a0b0aecf41eae953af9b1e8a	yes
metageneprofiling/RIBO-GLY-1/.snakemake_timestamp	0	d41d8cd98f00b204e9800998ecf8427e	yes
metageneprofiling/RIBO-GLY-1/cpm/NC_002516.2_fiveprime.svg	87177	d1673fefbc24acfec5f036caaccc9a0b	yes
metageneprofiling/RIBO-GLY-1/cpm/NC_002516.2_threeprime.svg	89997	39cf7900cfc08f879f42b7d52888fb7b	yes
metageneprofiling/RIBO-GLY-1/cpm/fiveprime_readcounts_start.xlsx	51083	583b1cd086888d85654d47a7d9e32ef8	yes
metageneprofiling/RIBO-GLY-1/cpm/fiveprime_readcounts_stop.xlsx	48719	73ff8a57115e3d5438eb3c2d5da7331f	yes
metageneprofiling/RIBO-GLY-1/cpm/interactive_metagene_profiling.html	235139	dbc1bd0d7615240d0521a36222acf4d9	yes
metageneprofiling/RIBO-GLY-1/cpm/threeprime_readcounts_start.xlsx	50296	543ceb3e43c7af9e4d8bd6c8b7361898	yes
metageneprofiling/RIBO-GLY-1/cpm/threeprime_readcounts_stop.xlsx	48339	8fb515d651b8a73a67e5fd8cfe6fde75	yes
metageneprofiling/RIBO-GLY-1/raw/NC_002516.2_fiveprime.svg	88955	33e225b37e7733422c9f7989639b75ba	yes
metageneprofiling/RIBO-GLY-1/raw/NC_002516.2_threeprime.svg	91683	0b91661b7496b34c13613b2d7e3013de	yes
metageneprofiling/RIBO-GLY-1/raw/fiveprime_readcounts_start.xlsx	41720	4b5dd954526b10bd6f03c318c2d01737	yes
metageneprofiling/RIBO-GLY-1/raw/fiveprime_readcounts_stop.xlsx	40667	a00fe22938c5dc4c12fd3ba1cc0088b3	yes
metageneprofiling/RIBO-GLY-1/raw/interactive_metagene_profiling.html	84898	f907b811052db85702d6f3aa70ca2da8	yes
metageneprofiling/RIBO-GLY-1/raw/threeprime_readcounts_start.xlsx	41179	7532161bf1cbce681b54b326eb2b3ae6	yes
