sample	run_accession	reads_in_archive	subsample_fraction	reads_kept	cutadapt_reads_processed	cutadapt_reads_with_adapter	cutadapt_reads_with_adapter_pct	cutadapt_reads_too_short	cutadapt_reads_written	cutadapt_bases_written_pct	fastqc_1raw_reads	fastqc_2trimmed_reads	fastqc_3mapped_reads	fastqc_4unique_reads	fastqc_5removedrRNA_reads	alignments_all_mappers	reads_unique_mappers	reads_unique_after_rrna_removal	mean_length_unique_mappers	mean_length_final
RIBO-GLY-1	SRR5356907	73952429	0.10	7394173	7394173	7072518	95.6	52461	7341712	53.5	7394173	7341712	24975414	900858	639010	24975414	900858	639010	30.93546041662504	31.956465470023943
RNA-GLY-1	SRR5356908	98145010	0.10	9811418	9811418	8977171	91.5	46550	9764868	68.0	9811418	9764868	31265670	1405641	382107	31265670	1405641	382107	34.531070166564575	33.216790061422586
